2021,경기,승,패,무,타율,평균자책점,승률
KT 위즈,144,76,59,9,0.265,3.67,0.563
두산 베어스,144,71,65,8,0.268,4.26,0.522
삼성 라이온즈,144,76,59,9,0.267,4.3,0.563
LG 트윈스,144,72,58,14,0.25,3.57,0.554
키움 히어로즈,144,70,67,7,0.259,4.31,0.511
SSG 랜더스,144,66,64,14,0.261,4.82,0.508
NC 다이노스,144,67,68,9,0.261,4.54,0.496
롯데 자이언츠,144,65,71,8,0.278,5.37,0.478
KIA 타이거즈,144,58,76,10,0.248,4.89,0.433
한화 이글스,144,49,83,12,0.237,4.65,0.371
