팀,연도,TOP25 연봉,시즌 성적
LG,2020,"1,097,800",79-61-4 (0.564)
롯데,2020,"1,018,000",71-72-1 (0.497)
NC,2020,"1,005,800",83-55-6 (0.601)
KIA,2020,"940,900",73-71-0 (0.507)
두산,2020,"935,200",79-61-4 (0.564)
삼성,2020,"892,100",64-75-5 (0.460)
SK,2020,"874,600",51-92-1 (0.357)
넥센,2020,"855,800",-- (0.000)
한화,2020,"789,000",46-95-3 (0.326)
kt,2020,"774,800",81-62-1 (0.566)
