2023,경기,승,패,무,타율,평균자책점,승률
LG 트윈스,144,86,56,2,0.279,3.67,0.606
KT 위즈,144,79,62,3,0.265,3.94,0.56
SSG 랜더스,144,76,65,3,0.26,4.37,0.539
NC 다이노스,144,75,67,2,0.27,3.83,0.528
두산 베어스,144,74,68,2,0.255,3.92,0.521
KIA 타이거즈,144,73,69,2,0.276,4.13,0.514
롯데 자이언츠,144,68,76,0,0.265,4.15,0.472
삼성 라이온즈,144,61,82,1,0.263,4.6,0.427
한화 이글스,144,58,80,6,0.241,4.38,0.42
키움 히어로즈,144,58,83,3,0.261,4.42,0.411
