2020,경기,승,패,무,타율,평균자책점,승률
NC 다이노스,144,83,55,6,0.291,4.58,0.601
두산 베어스,144,79,61,4,0.293,4.31,0.564
KT 위즈,144,81,62,1,0.284,4.54,0.566
LG 트윈스,144,79,61,4,0.277,4.37,0.564
키움 히어로즈,144,80,63,1,0.269,4.39,0.559
KIA 타이거즈,144,73,71,0,0.274,5.13,0.507
롯데 자이언츠,144,71,72,1,0.276,4.64,0.497
삼성 라이온즈,144,64,75,5,0.268,4.78,0.46
SK 와이번스,144,51,92,1,0.25,5.57,0.357
한화 이글스,144,46,95,3,0.245,5.28,0.326
