팀,연도,TOP25 연봉,시즌 성적
SSG,2023,"2,282,100",76-65-3 (0.539)
삼성,2023,"1,261,400",61-82-1 (0.427)
두산,2023,"963,500",74-68-2 (0.521)
LG,2023,"921,050",86-56-2 (0.606)
NC,2023,"886,300",75-67-2 (0.528)
KIA,2023,"814,400",73-69-2 (0.514)
롯데,2023,"797,308",68-76-0 (0.472)
kt,2023,"776,300",79-62-3 (0.560)
넥센,2023,"706,000",-- (0.000)
한화,2023,"631,750",58-80-6 (0.420)
