팀,연도,TOP25 연봉,시즌 성적
SSG,2022,"1,982,500",88-52-4 (0.629)
NC,2022,"1,275,500",67-74-3 (0.475)
삼성,2022,"1,261,200",66-76-2 (0.465)
두산,2022,"1,176,700",60-82-2 (0.423)
LG,2022,"1,103,500",87-55-2 (0.613)
KIA,2022,"978,000",70-73-1 (0.490)
kt,2022,"938,800",80-62-2 (0.563)
롯데,2022,"798,238",64-76-4 (0.457)
넥센,2022,"776,300",-- (0.000)
한화,2022,"748,620",46-96-2 (0.324)
