2022,경기,승,패,무,타율,평균자책점,승률
SSG 랜더스,144,88,52,4,0.254,3.87,0.629
키움 히어로즈,144,80,62,2,0.252,3.79,0.563
LG 트윈스,144,87,55,2,0.269,3.33,0.613
KT 위즈,144,80,62,2,0.254,3.51,0.563
KIA 타이거즈,144,70,73,1,0.272,4.2,0.49
NC 다이노스,144,67,74,3,0.257,3.9,0.475
삼성 라이온즈,144,66,76,2,0.27,4.29,0.465
롯데 자이언츠,144,64,76,4,0.267,4.45,0.457
두산 베어스,144,60,82,2,0.255,4.45,0.423
한화 이글스,144,46,96,2,0.245,4.83,0.324
