팀,연도,TOP25 연봉,시즌 성적
SSG,2021,"1,323,300",66-64-14 (0.508)
삼성,2021,"1,075,300",76-59-9 (0.563)
LG,2021,"1,060,400",72-58-14 (0.554)
NC,2021,"1,052,700",67-68-9 (0.496)
롯데,2021,"1,008,900",65-71-8 (0.478)
넥센,2021,"1,005,300",-- (0.000)
KIA,2021,"880,300",58-76-10 (0.433)
두산,2021,"869,400",71-65-8 (0.522)
kt,2021,"866,300",76-59-9 (0.563)
한화,2021,"617,500",49-83-12 (0.371)
